question_id,question_index,task,n,mean_reward,completed,errors,nonzero,replaced_rows
DBEVAL-V0-001,1,AnoleGeneParse,7,0.12462006079027356,7,0,1,1
DBEVAL-V0-002,2,AnoleGeneParse,7,0.06233062330623307,7,0,1,0
DBEVAL-V0-003,3,AnoleGeneParse,7,0.5385129490392648,7,0,5,1
DBEVAL-V0-004,4,AnoleGeneParse,7,0.07024205030849548,7,0,2,1
DBEVAL-V0-005,5,AnoleGeneParse,7,0.47351524879614765,7,0,4,0
DBEVAL-V0-006,6,AnoleGeneParse,7,0.23832092078537576,7,0,5,0
DBEVAL-V0-007,7,AnoleGeneParse,7,0.42442563482466744,7,0,6,1
DBEVAL-V0-008,8,AnoleGeneParse,7,0.44165150136487713,7,0,7,1
DBEVAL-V0-009,9,AnoleGeneParse,7,0.0,7,0,0,1
DBEVAL-V0-010,10,AnoleGeneParse,7,0.5329600866895431,7,0,6,1
DBEVAL-V0-011,11,AnoleGeneParse,7,0.5216515609264853,7,0,5,0
DBEVAL-V0-012,12,AnoleGeneParse,7,0.7093837535014006,7,0,7,0
DBEVAL-V0-013,13,AnoleGeneParse,7,0.4383172256964184,7,0,5,2
DBEVAL-V0-014,14,AnoleGeneParse,7,0.060824982521556735,7,0,3,0
DBEVAL-V0-015,15,AnoleGeneParse,7,0.6556900726392252,7,0,6,1
DBEVAL-V0-016,16,AnoleGeneParse,7,0.3520225294418843,7,0,5,0
DBEVAL-V0-017,17,AnoleGeneParse,7,0.7050640825257892,7,0,7,0
DBEVAL-V0-018,18,AnoleGeneParse,7,0.47017477203647423,7,0,5,0
DBEVAL-V0-019,19,AnoleGeneParse,7,0.4645542427497315,7,0,5,1
DBEVAL-V0-020,20,AnoleGeneParse,7,0.6786160156946675,7,0,7,0
DBEVAL-V0-021,21,AnolePromoterExpression,7,0.20476190476190473,7,0,4,0
DBEVAL-V0-022,22,AnolePromoterExpression,7,0.09761904761904756,7,0,4,0
DBEVAL-V0-023,23,AnolePromoterExpression,7,0.29047619047619044,7,0,5,0
DBEVAL-V0-024,24,AnolePromoterExpression,7,0.23809523809523808,7,0,5,0
DBEVAL-V0-025,25,AnolePromoterExpression,7,0.05238095238095236,7,0,3,0
DBEVAL-V0-026,26,AnolePromoterExpression,7,0.0595238095238095,7,0,2,0
DBEVAL-V0-027,27,AnolePromoterExpression,7,0.09523809523809523,7,0,1,0
DBEVAL-V0-028,28,AnolePromoterExpression,7,0.17619047619047618,7,0,4,0
DBEVAL-V0-029,29,AnolePromoterExpression,7,0.15952380952380946,7,0,4,0
DBEVAL-V0-030,30,AnolePromoterExpression,7,0.0,7,0,0,0
DBEVAL-V0-031,31,AnolePromoterExpression,7,0.16666666666666666,7,0,4,0
DBEVAL-V0-032,32,AnolePromoterExpression,7,0.27619047619047615,7,0,6,0
DBEVAL-V0-033,33,AnolePromoterExpression,7,0.24999999999999997,7,0,3,0
DBEVAL-V0-034,34,AnolePromoterExpression,7,0.09999999999999998,7,0,3,0
DBEVAL-V0-035,35,AnolePromoterExpression,7,0.09523809523809519,7,0,5,0
DBEVAL-V0-036,36,AnolePromoterExpression,7,0.07857142857142854,7,0,2,0
DBEVAL-V0-037,37,AnolePromoterExpression,7,0.0119047619047619,7,0,1,0
DBEVAL-V0-038,38,AnolePromoterExpression,7,0.03809523809523807,7,0,2,0
DBEVAL-V0-039,39,AnolePromoterExpression,7,0.009523809523809514,7,0,1,0
DBEVAL-V0-040,40,AnolePromoterExpression,7,0.16190476190476186,7,0,3,0
DBEVAL-V0-041,41,KomodoProteinFold,7,0.11780319378506686,6,1,6,1
DBEVAL-V0-042,42,KomodoProteinFold,7,0.1198186528497409,6,1,6,1
DBEVAL-V0-043,43,KomodoProteinFold,7,0.10198412698412695,6,1,5,1
DBEVAL-V0-044,44,KomodoProteinFold,7,0.1910734193342889,6,1,6,1
DBEVAL-V0-045,45,KomodoProteinFold,7,0.14020223474004984,6,1,6,1
DBEVAL-V0-046,46,KomodoProteinFold,7,0.058630780644629434,6,1,5,1
DBEVAL-V0-047,47,KomodoProteinFold,7,0.12048622109597716,6,1,5,2
DBEVAL-V0-048,48,KomodoProteinFold,7,0.16479840111226968,6,1,5,1
DBEVAL-V0-049,49,KomodoProteinFold,7,0.092036379769299,6,1,6,1
DBEVAL-V0-050,50,KomodoProteinFold,7,0.32792638967937776,6,1,6,1
DBEVAL-V0-051,51,KomodoProteinFold,7,0.09884477709079073,6,1,6,1
DBEVAL-V0-052,52,KomodoProteinFold,7,0.13259073987901346,6,1,5,1
DBEVAL-V0-053,53,KomodoProteinFold,7,0.14391310906622415,6,1,6,1
DBEVAL-V0-054,54,KomodoProteinFold,7,0.09695165945165944,6,1,5,2
DBEVAL-V0-055,55,KomodoProteinFold,7,0.10488721804511277,6,1,4,1
DBEVAL-V0-056,56,KomodoProteinFold,7,0.25051759834368525,6,1,5,1
DBEVAL-V0-057,57,KomodoProteinFold,7,0.09746226208707065,6,1,6,2
DBEVAL-V0-058,58,KomodoProteinFold,7,0.21286972938955318,6,1,5,1
DBEVAL-V0-059,59,KomodoProteinFold,7,0.1497671623854589,6,1,5,1
DBEVAL-V0-060,60,KomodoProteinFold,7,0.09996318114874814,6,1,6,1
DBEVAL-V0-061,61,DragonTFBind,7,0.3173155215944589,7,0,4,7
DBEVAL-V0-062,62,DragonTFBind,7,0.6345637256146045,7,0,7,7
DBEVAL-V0-063,63,DragonTFBind,7,0.7204112675572037,7,0,7,7
DBEVAL-V0-064,64,DragonTFBind,7,0.4037732953387737,7,0,5,7
DBEVAL-V0-065,65,DragonTFBind,7,0.8172185239383605,7,0,7,7
DBEVAL-V0-066,66,DragonTFBind,7,0.653036564929689,7,0,6,7
DBEVAL-V0-067,67,DragonTFBind,7,0.8003656573561136,7,0,7,7
DBEVAL-V0-068,68,DragonTFBind,7,0.7972890649690925,7,0,7,7
DBEVAL-V0-069,69,DragonTFBind,7,0.5214089371048354,7,0,6,7
DBEVAL-V0-070,70,DragonTFBind,7,0.14040868943935791,7,0,4,7
DBEVAL-V0-071,71,DragonTFBind,7,0.6731820555249797,7,0,7,7
DBEVAL-V0-072,72,DragonTFBind,7,0.2072451254386036,7,0,4,7
