model,model_label,task,n,mean_reward,median_reward,completed,errors,nonzero,completion_rate
claude-opus-4-8,Opus 4.8,AnoleGeneParse,20,0.6218475301863416,0.7602883670280094,20,0,16,1.0
claude-opus-4-8,Opus 4.8,AnolePromoterExpression,20,0.11249999999999998,0.0,20,0,8,1.0
claude-opus-4-8,Opus 4.8,DragonTFBind,20,0.6753841032140347,0.7659752469651406,20,0,19,1.0
claude-opus-4-8,Opus 4.8,KomodoProteinFold,20,0.3007927683874334,0.23898071904020068,20,0,16,1.0
claude-opus-4-8,Opus 4.8,RNAFold,20,0.0,0.0,20,0,0,1.0
gemini-3.1-pro-preview,Gemini 3.1 Pro,AnoleGeneParse,20,0.6327679576383975,0.8646178755149305,19,1,16,0.95
gemini-3.1-pro-preview,Gemini 3.1 Pro,AnolePromoterExpression,20,0.13416666666666666,0.016666666666666663,20,0,10,1.0
gemini-3.1-pro-preview,Gemini 3.1 Pro,DragonTFBind,20,0.36586147138309755,0.0,11,9,9,0.55
gemini-3.1-pro-preview,Gemini 3.1 Pro,KomodoProteinFold,20,0.0,0.0,0,20,0,0.0
gemini-3.1-pro-preview,Gemini 3.1 Pro,RNAFold,20,0.17800153931925605,0.0,16,4,6,0.8
gpt-4o,GPT-4o,AnoleGeneParse,20,0.3075116202424084,0.36146794810797095,20,0,13,1.0
gpt-4o,GPT-4o,AnolePromoterExpression,20,0.07333333333333333,0.0,20,0,6,1.0
gpt-4o,GPT-4o,DragonTFBind,20,0.736100075890181,0.8391571106940101,20,0,20,1.0
gpt-4o,GPT-4o,KomodoProteinFold,20,0.0860482135344948,0.021620396888385632,19,1,16,0.95
gpt-4o,GPT-4o,RNAFold,20,0.0,0.0,20,0,0,1.0
gpt-5,GPT-5,AnoleGeneParse,20,0.2587424235965857,0.11550245098039214,20,0,10,1.0
gpt-5,GPT-5,AnolePromoterExpression,20,0.1358333333333333,0.04166666666666666,20,0,11,1.0
gpt-5,GPT-5,DragonTFBind,20,0.4346151495371595,0.5271665535454872,20,0,15,1.0
gpt-5,GPT-5,KomodoProteinFold,20,0.1151930437332948,0.12605124711719004,19,1,19,0.95
gpt-5,GPT-5,RNAFold,20,0.05663109756097562,0.0,20,0,3,1.0
gpt-5.4,GPT-5.4,AnoleGeneParse,20,0.24071602321924318,0.09681926509996835,20,0,12,1.0
gpt-5.4,GPT-5.4,AnolePromoterExpression,20,0.1725,0.0,20,0,8,1.0
gpt-5.4,GPT-5.4,DragonTFBind,20,0.37953730057144,0.25860327353409435,20,0,16,1.0
gpt-5.4,GPT-5.4,KomodoProteinFold,20,0.26123031677081376,0.21650716063443853,20,0,20,1.0
gpt-5.4,GPT-5.4,RNAFold,20,0.0,0.0,20,0,0,1.0
gpt-5.4-mini,GPT-5.4 mini,AnoleGeneParse,20,0.13755836965690105,0.0,20,0,9,1.0
gpt-5.4-mini,GPT-5.4 mini,AnolePromoterExpression,20,0.12333333333333332,0.008333333333333331,20,0,10,1.0
gpt-5.4-mini,GPT-5.4 mini,DragonTFBind,20,0.511432481676336,0.5815340215170719,20,0,17,1.0
gpt-5.4-mini,GPT-5.4 mini,KomodoProteinFold,20,0.1299757894536963,0.1185462743396751,19,1,19,0.95
gpt-5.4-mini,GPT-5.4 mini,RNAFold,20,0.0,0.0,20,0,0,1.0
gpt-5.5,GPT-5.5,AnoleGeneParse,20,0.2924496108981748,0.0,10,10,8,0.5
gpt-5.5,GPT-5.5,AnolePromoterExpression,20,0.145,0.0,20,0,9,1.0
gpt-5.5,GPT-5.5,DragonTFBind,20,0.6037180966104458,0.7140502242330966,20,0,19,1.0
gpt-5.5,GPT-5.5,KomodoProteinFold,20,0.08389771233591327,0.10142189282832845,20,0,16,1.0
gpt-5.5,GPT-5.5,RNAFold,20,0.17481365041709868,0.05405405405405405,16,4,10,0.8
