model,model_label,task,n,mean_reward,median_reward,completed,errors,nonzero
claude-opus-4-8,Opus 4.8,AnoleGeneParse,20,0.6218475301863416,0.7602883670280094,20,0,16
claude-opus-4-8,Opus 4.8,AnolePromoterExpression,20,0.11249999999999998,0.0,20,0,8
claude-opus-4-8,Opus 4.8,DragonTFBind,20,0.6531043813904882,0.7172423213274175,20,0,18
claude-opus-4-8,Opus 4.8,KomodoProteinFold,20,0.3007927683874334,0.23898071904020063,20,0,16
claude-opus-4-8,Opus 4.8,RNAFold,20,0.0,0.0,20,0,0
gemini-3.1-pro-preview,Gemini 3.1 Pro,AnoleGeneParse,20,0.6327679576383974,0.8646178755149305,19,1,16
gemini-3.1-pro-preview,Gemini 3.1 Pro,AnolePromoterExpression,20,0.13416666666666663,0.01666666666666665,20,0,10
gemini-3.1-pro-preview,Gemini 3.1 Pro,DragonTFBind,20,0.6616259318663447,0.7213975326911526,19,1,18
gemini-3.1-pro-preview,Gemini 3.1 Pro,KomodoProteinFold,20,0.0,0.0,0,20,0
gemini-3.1-pro-preview,Gemini 3.1 Pro,RNAFold,20,0.17800153931925605,0.0,16,4,6
gpt-4o,GPT-4o,AnoleGeneParse,20,0.3075116202424084,0.3614679481079709,20,0,13
gpt-4o,GPT-4o,AnolePromoterExpression,20,0.07333333333333332,0.0,20,0,6
gpt-4o,GPT-4o,DragonTFBind,20,0.3162120301302466,0.29419810437288924,20,0,13
gpt-4o,GPT-4o,KomodoProteinFold,20,0.08604821353449478,0.0216203968883856,19,1,16
gpt-4o,GPT-4o,RNAFold,20,0.0,0.0,20,0,0
gpt-5,GPT-5,AnoleGeneParse,20,0.25874242359658567,0.1155024509803921,20,0,10
gpt-5,GPT-5,AnolePromoterExpression,20,0.1358333333333333,0.0416666666666666,20,0,11
gpt-5,GPT-5,DragonTFBind,20,0.5212864070736354,0.6670532960170839,20,0,15
gpt-5,GPT-5,KomodoProteinFold,20,0.11519304373329478,0.12605124711719,19,1,19
gpt-5,GPT-5,RNAFold,20,0.05663109756097562,0.0,20,0,3
gpt-5.4,GPT-5.4,AnoleGeneParse,20,0.24071602321924312,0.0968192650999683,20,0,12
gpt-5.4,GPT-5.4,AnolePromoterExpression,20,0.17249999999999996,0.0,20,0,8
gpt-5.4,GPT-5.4,DragonTFBind,20,0.3787547573659135,0.46225351064923725,20,0,15
gpt-5.4,GPT-5.4,KomodoProteinFold,20,0.2612303167708137,0.21650716063443848,20,0,20
gpt-5.4,GPT-5.4,RNAFold,20,0.0,0.0,20,0,0
gpt-5.4-mini,GPT-5.4 mini,AnoleGeneParse,20,0.13755836965690102,0.0,20,0,9
gpt-5.4-mini,GPT-5.4 mini,AnolePromoterExpression,20,0.12333333333333332,0.0083333333333333,20,0,10
gpt-5.4-mini,GPT-5.4 mini,DragonTFBind,20,0.2203673328823313,0.11585281584802375,20,0,14
gpt-5.4-mini,GPT-5.4 mini,KomodoProteinFold,20,0.1299757894536963,0.11854627433967505,19,1,19
gpt-5.4-mini,GPT-5.4 mini,RNAFold,20,0.0,0.0,20,0,0
gpt-5.5,GPT-5.5,AnoleGeneParse,20,0.2924496108981748,0.0,10,10,8
gpt-5.5,GPT-5.5,AnolePromoterExpression,20,0.14499999999999996,0.0,20,0,9
gpt-5.5,GPT-5.5,DragonTFBind,20,0.5766463837762943,0.7194014077057063,20,0,16
gpt-5.5,GPT-5.5,KomodoProteinFold,20,0.08389771233591323,0.10142189282832839,20,0,16
gpt-5.5,GPT-5.5,RNAFold,20,0.17481365041709868,0.05405405405405405,16,4,10
