ASU_Acar ID	RefSeq Gene Description	ASU_Acar Sequence Length (bp)	Best RefSeq Hit Description	NCBI RefSeq ID	E-Value	Percent Similarity	Blast Score	Alignment Length (amino acids)	Positives Matches (amino acids)
ASU.Acar.G.10150	-dihydroxyvitamin d 24- mitochondrial-like	166	gi|327288182|ref|XP_003228807.1|PREDICTED: 1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial-like [Anolis carolinensis]	XP_003228807	3.75092E-18	60	91.6633	111	67	
ASU.Acar.G.10188	fyve and coiled-coil domain-containing protein 1-like	318	gi|327282171|ref|XP_003225817.1|PREDICTED: FYVE and coiled-coil domain-containing protein 1-like [Anolis carolinensis]	XP_003225817	4.12836E-91	87	335.88	199	175	
ASU.Acar.G.10250	olfactory receptor 11h6-like	130	gi|73978092|ref|XP_539667.2|PREDICTED: olfactory receptor 11H6-like [Canis lupus familiaris]	XP_539667	3.85476E-34	77	144.05	113	88	
ASU.Acar.G.10350	PREDICTED: hypothetical protein LOC100493551 [Xenopus (Silurana) tropicalis]	121	gi|301614772|ref|XP_002936863.1|PREDICTED: hypothetical protein LOC100493551 [Xenopus (Silurana) tropicalis]	XP_002936863	2.1009E-8	72	58.5362	50	36	
ASU.Acar.G.10368	sparc cwcv and kazal-like domains proteoglycan precursor	57	gi|363739168|ref|XP_414622.3|PREDICTED: testican-1 [Gallus gallus]	XP_414622	7.61496E-19	80	93.2041	57	46	
ASU.Acar.G.10504	rna-directed dna polymerase from mobile element jockey-like	123	gi|326680843|ref|XP_003201639.1|PREDICTED: hypothetical protein LOC100537186 [Danio rerio]	XP_003201639	1.65678E-5	46	48.9062	110	51	
ASU.Acar.G.10557	double homeobox protein 4-like protein 4-like	307	gi|344269405|ref|XP_003406543.1|PREDICTED: retinal homeobox protein Rx-like [Loxodonta africana]	XP_003406543	1.41844E-8	44	61.6178	198	88	
ASU.Acar.G.10566	PREDICTED: hypothetical protein LOC100563288 [Anolis carolinensis]	295	gi|327279450|ref|XP_003224469.1|PREDICTED: hypothetical protein LOC100563288 [Anolis carolinensis]	XP_003224469	3.252E-23	53	110.153	239	129	
ASU.Acar.G.1057	inner centromere protein	123	gi|45384506|ref|NP_990661.1|inner centromere protein [Gallus gallus]	NP_990661	1.02578E-47	86	189.119	115	100	
ASU.Acar.G.10586	coiled-coil domain containing 86	205	gi|363733981|ref|XP_001231835.2|PREDICTED: uncharacterized protein LOC769951 [Gallus gallus]	XP_001231835	2.18795E-23	60	109.768	144	87	
ASU.Acar.G.10587	membrane-spanning 4-domains subfamily a member 12-like isoform 2	116	gi|363733981|ref|XP_001231835.2|PREDICTED: uncharacterized protein LOC769951 [Gallus gallus]	XP_001231835	9.49761E-25	72	112.849	107	78	
ASU.Acar.G.10605	pepsin a-like isoform 2	112	gi|327278828|ref|XP_003224162.1|PREDICTED: pepsin A-like isoform 2 [Anolis carolinensis]	XP_003224162	2.67038E-59	100	227.639	110	110	
ASU.Acar.G.10658	rna-directed dna polymerase from mobile element jockey-like	467	gi|326667425|ref|XP_003198594.1|PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Danio rerio]	XP_003198594	6.03241E-82	52	306.22	496	262	
ASU.Acar.G.10879	PREDICTED: hypothetical protein LOC100567846 [Anolis carolinensis]	355	gi|327266462|ref|XP_003218024.1|PREDICTED: hypothetical protein LOC100567846 [Anolis carolinensis]	XP_003218024	1.58639E-25	68	118.242	114	78	
ASU.Acar.G.10890	serpin b3-like	581	gi|327279384|ref|XP_003224436.1|PREDICTED: microtubule-associated protein futsch-like [Anolis carolinensis]	XP_003224436	2.31427E-89	70	331.257	278	196	
ASU.Acar.G.10921	PREDICTED: hypothetical protein LOC100710874 [Oreochromis niloticus]	197	gi|348533007|ref|XP_003453997.1|PREDICTED: hypothetical protein LOC100710874 [Oreochromis niloticus]	XP_003453997	7.90263E-36	58	150.984	193	113	
ASU.Acar.G.11043	hypothetical protein BRAFLDRAFT_125116 [Branchiostoma floridae]	991	gi|260821585|ref|XP_002606113.1|hypothetical protein BRAFLDRAFT_125116 [Branchiostoma floridae]	XP_002606113	5.60166E-4	38	48.521	374	144	
