ASU Unmapped Transcript ID	RefSeq Gene Description	ASU_Acar Sequence Length (bp)	Best RefSeq Hit Description	NCBI RefSeq ID	E-Value	Percent Similarity	Blast Score	Alignment Length (amino acids)	Positives Matches (amino acids)
a10009	invariant chain-like protein 14-1	449	gi|348501600|ref|XP_003438357.1|PREDICTED: hypothetical protein LOC100706178 [Oreochromis niloticus]	XP_003438357	1.20516E-59	81	229.18	149	121	
a10012	complement c1q subcomponent subunit b-like	2330	gi|326932590|ref|XP_003212398.1|PREDICTED: complement C1q subcomponent subunit B-like [Meleagris gallopavo]	XP_003212398	6.24003E-65	65	250.751	241	159	
a10014	low quality protein: myosin-13-like	1110	gi|326676757|ref|XP_685984.5|PREDICTED: hypothetical protein LOC557772 [Danio rerio]	XP_685984	1.0591E-28	50	129.028	399	200	
a10018	fatty acid-binding heart	753	gi|348513129|ref|XP_003444095.1|PREDICTED: fatty acid-binding protein, heart-like [Oreochromis niloticus]	XP_003444095	1.1003E-48	84	194.512	133	113	
a10020	hemoglobin subunit beta-like	635	gi|185134273|ref|NP_001117659.1|embryonic beta-type globin [Oncorhynchus mykiss]	NP_001117659	2.24348E-67	90	256.144	147	133	
a10022	cytochrome c oxidase subunit iii	2403	gi|126215342|ref|YP_001054847.1|cytochrome c oxidase subunit III (mitochondrion) [Tropheus duboisi]	YP_001054847	1.73417E-118	95	428.713	261	249	
a10025	poly	901	gi|345312198|ref|XP_003429221.1|PREDICTED: LOW QUALITY PROTEIN: poly [ADP-ribose] polymerase 10-like [Ornithorhynchus anatinus]	XP_003429221	5.35068E-14	60	79.7221	118	71	
a10028	zinc finger protein 135-like	455	gi|327291914|ref|XP_003230665.1|PREDICTED: zinc finger protein 135-like [Anolis carolinensis]	XP_003230665	4.68E-46	89	184.111	101	90	
a10033	cytochrome c oxidase subunit iii	1680	gi|16357002|ref|NP_443417.1|cytochrome c oxidase subunit III (mitochondrion) [Gasterosteus aculeatus]	NP_443417	6.40845E-106	95	386.341	261	249	
a10038	cyclin-dependent kinase 4 inhibitor b	502	gi|226342984|ref|NP_001139741.1|cyclin-dependent kinase 4 inhibitor B [Canis lupus familiaris]	NP_001139741	5.77521E-44	100	177.563	87	87	
