ASU_Acar ID	NCBI Gene ID	NCBI Gene Symbol	Ensembl Gene ID	Ensembl Gene Name	RefSeq Gene Description from Blast2GO matches
ASU_Acar_G.1	100562269	LOC100562269	ENSACAG00000008116	VIT	-
ASU_Acar_G.10	-	-	-	-	-
ASU_Acar_G.100	100562530	ikzf2	ENSACAG00000025864	-	-
ASU_Acar_G.1000	100555447	LOC100555447	ENSACAG00000005146	MCM3	-
ASU_Acar_G.10000	100554820	LOC100554820	ENSACAG00000010218	ARPP21	-
ASU_Acar_G.10001	100560464	LOC100560464	ENSACAG00000007521	GFAP	-
ASU_Acar_G.10002	-	-	ENSACAG00000025242	CCDC129	-
ASU_Acar_G.10003	-	-	-	-	-
ASU_Acar_G.10004	100553517	LOC100553517	ENSACAG00000027284	-	-
ASU_Acar_G.10005	100555416	wnt3	ENSACAG00000016642	WNT3	-
ASU_Acar_G.10006	100553975	LOC100553975	ENSACAG00000005508	-	-
ASU_Acar_G.10007	100558020	LOC100558020	ENSACAG00000011510	PTPRN2	-
ASU_Acar_G.10008	100563865	LOC100563865	-	-	-
ASU_Acar_G.10009	100562032	LOC100562032	ENSACAG00000008459	FABP1	-
ASU_Acar_G.1001	-	-	-	-	-
ASU_Acar_G.10010	100551811	LOC100551811	ENSACAG00000009328	PLXDC2	-
ASU_Acar_G.10011	100564989	LOC100564989	ENSACAG00000013910	EZH2	-
ASU_Acar_G.10012	100559072	LOC100559072	ENSACAG00000013625	GPNMB	-
ASU_Acar_G.10013	100556978	LOC100556978	ENSACAG00000002449	BTD	-
ASU_Acar_G.10014	100556321	LOC100556321	ENSACAG00000011466	-	-
ASU_Acar_G.10015	100555273	ube3c	ENSACAG00000011224	UBE3C	-
ASU_Acar_G.10016	100556590	LOC100556590	ENSACAG00000007822	-	-
ASU_Acar_G.10017	-	-	-	-	uncharacterized protein LOC100149646 precursor
ASU_Acar_G.10018	100553250	nub1	ENSACAG00000012076	NUB1	-
ASU_Acar_G.10019	-	-	-	-	-
ASU_Acar_G.1002	100568221	stk36	ENSACAG00000002906	STK36	-
ASU_Acar_G.10020	100565122	LOC100565122	ENSACAG00000005384	PDK2	-
ASU_Acar_G.10021	100565242	LOC100565242	ENSACAG00000015849	CLDN12	-
ASU_Acar_G.10022	100564729	LOC100564729	ENSACAG00000023481	POLD1	-
ASU_Acar_G.10023	100555213	LOC100555213	ENSACAG00000000877	SCRN1	-
ASU_Acar_G.10024	100552860	LOC100552860	-	-	-
ASU_Acar_G.10025	100556715	LOC100556715	ENSACAG00000004111	CCDC47	-
ASU_Acar_G.10026	100567860	LOC100567860	-	-	-
ASU_Acar_G.10027	100560587	LOC100560587	ENSACAG00000016690	WNT9B	-
ASU_Acar_G.10028	-	-	ENSACAG00000016814	-	-
ASU_Acar_G.10029	-	-	-	-	PREDICTED: hypothetical protein LOC100537186
ASU_Acar_G.1003	-	-	-	-	-
ASU_Acar_G.10030	100563083	LOC100563083	ENSACAG00000007583	WAC	-
ASU_Acar_G.10031	100562432	LOC100562432	ENSACAG00000001691	NEK11	-
ASU_Acar_G.10032	100564328	LOC100564328	ENSACAG00000017359	CDC27	-
ASU_Acar_G.10033	100567790	LOC100567790	ENSACAG00000009054	DNAJC1	-
ASU_Acar_G.10034	100553252	LOC100553252	-	-	-
ASU_Acar_G.10035	100559273	LOC100559273	ENSACAG00000017505	FBXL20	-
ASU_Acar_G.10036	-	-	-	-	-
ASU_Acar_G.10037	-	-	-	-	retrotransposable element tf2 155 kda protein type 1-like
ASU_Acar_G.10038	-	-	-	-	zinc finger protein 135-like
ASU_Acar_G.10039	100551546	LOC100551546	-	-	-
ASU_Acar_G.1004	100568223	LOC100568223	ENSACAG00000003164	KYNU	-
ASU_Acar_G.10040	100558807	LOC100558807	ENSACAG00000007486	KIF18B	-
ASU_Acar_G.10041	100563737	LOC100563737	ENSACAG00000024163	GNGT2	-
ASU_Acar_G.10042	100561646	LOC100561646	ENSACAG00000009180	-	-
ASU_Acar_G.10043	100563866	LOC100563866	-	-	-
ASU_Acar_G.10044	100560656	LOC100560656	-	-	-
ASU_Acar_G.10045	100560263	LOC100560263	ENSACAG00000000850	DNAJC13	-
ASU_Acar_G.10046	100566310	LOC100566310	ENSACAG00000003395	GRB7	-
ASU_Acar_G.10047	100557955	sp4	ENSACAG00000014193	SP4	-
ASU_Acar_G.10048	100563807	LOC100563807	ENSACAG00000007906	PIGA	-
ASU_Acar_G.10049	100555344	LOC100555344	ENSACAG00000004781	DUSP3	-
ASU_Acar_G.1005	-	-	ENSACAG00000022152	MUC7	-
ASU_Acar_G.10050	100559402	LOC100559402	ENSACAG00000013247	LIN7B	-
ASU_Acar_G.10051	100558349	LOC100558349	ENSACAG00000006906	OSBPL7	-
ASU_Acar_G.10052	100552727	LOC100552727	-	-	-
ASU_Acar_G.10053	-	-	-	-	-
ASU_Acar_G.10054	-	-	-	-	zinc finger protein 135-like
ASU_Acar_G.10055	100564199	LOC100564199	ENSACAG00000008063	IGFBP1	-
ASU_Acar_G.10056	-	-	-	-	c-c chemokine receptor type 4-like
ASU_Acar_G.10057	100556397	LOC100556397	ENSACAG00000017964	NAGLU	-
ASU_Acar_G.10058	100554170	LOC100554170	ENSACAG00000005320	-	-
ASU_Acar_G.10059	100552595	LOC100552595	ENSACAG00000008773	PIP4K2A	-
ASU_Acar_G.1006	100567633	LOC100567633	ENSACAG00000009263	MOB2	-
ASU_Acar_G.10060	-	-	-	-	-
ASU_Acar_G.10061	100555474	LOC100555474	ENSACAG00000016167	-	-
ASU_Acar_G.10062	100560066	LOC100560066	ENSACAG00000001596	MRPL3	-
ASU_Acar_G.10063	100559401	plcd3	ENSACAG00000007219	PLCD3	-
ASU_Acar_G.10064	-	-	-	-	PREDICTED: hypothetical protein LOC100710874
ASU_Acar_G.10065	100563544	LOC100563544	ENSACAG00000006199	IGF2BP1	-
ASU_Acar_G.10066	100565118	LOC100565118	ENSACAG00000023372	-	-
ASU_Acar_G.10067	-	-	-	-	-
ASU_Acar_G.10068	100560657	LOC100560657	ENSACAG00000017581	C7orf10	-
ASU_Acar_G.10069	-	-	-	-	-
ASU_Acar_G.1007	100555899	LOC100555899	ENSACAG00000025647	C14orf79	-
ASU_Acar_G.10070	-	-	-	-	low quality protein: histone-lysine n-methyltransferase mll3-like
ASU_Acar_G.10071	100560585	LOC100560585	ENSACAG00000027389	-	-
ASU_Acar_G.10072	-	-	-	-	PREDICTED: hypothetical protein LOC100707133
ASU_Acar_G.10073	-	-	-	-	-
ASU_Acar_G.10074	100563347	LOC100563347	ENSACAG00000013461	-	-
ASU_Acar_G.10075	100557627	LOC100557627	ENSACAG00000011211	MNX1	-
ASU_Acar_G.10076	100557175	LOC100557175	ENSACAG00000017013	ACLY	-
